Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
31-12-2022,Onion Big,28,34,40,1kg
31-12-2022,Onion Small,40,48,57,1kg
31-12-2022,Tomato,15,18,21,1kg
31-12-2022,Green Chilli,39,47,55,1kg
31-12-2022,Beetroot,33,40,47,1kg
31-12-2022,Potato,34,41,48,1kg
31-12-2022,Raw Banana (Plantain),7,8,10,1kg
31-12-2022,Amaranth Leaves,12,14,17,1kg
31-12-2022,Amla,65,79,92,1kg
31-12-2022,Ash gourd,23,27,33,1kg
31-12-2022,Baby Corn,65,79,92,1kg
31-12-2022,Banana Flower,18,22,26,1kg
31-12-2022,Capsicum,46,55,65,1kg
31-12-2022,Bitter Gourd,28,34,40,1kg
31-12-2022,Bottle Gourd,26,31,37,1kg
31-12-2022,Butter Beans,72,87,102,1kg
31-12-2022,Broad Beans,34,41,48,1kg
31-12-2022,Cabbage,29,35,41,1kg
31-12-2022,Carrot,37,45,52,1kg
31-12-2022,Cauliflower,28,34,40,1kg
31-12-2022,Cluster beans,41,49,58,1kg
31-12-2022,Coconut,32,39,45,1kg
31-12-2022,Colocasia Leaves,15,18,21,1kg
31-12-2022,Colocasia,27,32,38,1kg
31-12-2022,Coriander Leaves,7,8,10,1kg
31-12-2022,Corn,28,34,40,1kg
31-12-2022,Cucumber,24,29,34,1kg
31-12-2022,Curry Leaves,29,35,41,1kg
31-12-2022,Dill Leaves,11,13,15,1kg
31-12-2022,Drumsticks,60,72,85,1kg
31-12-2022,Brinjal,21,25,30,1kg
31-12-2022,Brinjal (Big),28,34,40,1kg
31-12-2022,Elephant Yam,27,32,38,1kg
31-12-2022,Fenugreek Leaves,12,14,17,1kg
31-12-2022,French Beans,32,39,45,1kg
31-12-2022,Garlic,41,49,58,1kg
31-12-2022,Ginger,41,49,58,1kg
31-12-2022,Onion Green,38,46,54,1kg
31-12-2022,Green Peas,77,93,109,1kg
31-12-2022,Ivy Gourd,26,31,37,1kg
31-12-2022,Lemon (Lime),50,61,71,1kg
31-12-2022,Mango Raw,100,121,142,1kg
31-12-2022,Mint Leaves,4,5,6,1kg
31-12-2022,Mushroom,93,112,132,1kg
31-12-2022,Mustard Leaves,16,19,22,1kg
31-12-2022,Ladies Finger,31,37,44,1kg
31-12-2022,Pumpkin,28,34,40,1kg
31-12-2022,Radish,22,26,31,1kg
31-12-2022,Ridge Gourd,28,34,40,1kg
31-12-2022,Shallot (Pearl Onion),31,37,44,1kg
31-12-2022,Snake Gourd,30,36,43,1kg
31-12-2022,Sorrel Leaves,15,18,21,1kg
31-12-2022,Spinach,10,12,14,1kg
31-12-2022,Sweet Potato,40,48,57,1kg
30-12-2022,Onion Big,28,34,40,1kg
30-12-2022,Onion Small,40,48,57,1kg
30-12-2022,Tomato,15,18,21,1kg
30-12-2022,Green Chilli,39,47,55,1kg
30-12-2022,Beetroot,33,40,47,1kg
30-12-2022,Potato,34,41,48,1kg
30-12-2022,Raw Banana (Plantain),7,8,10,1kg
30-12-2022,Amaranth Leaves,12,14,17,1kg
30-12-2022,Amla,65,79,92,1kg
30-12-2022,Ash gourd,23,27,33,1kg
30-12-2022,Baby Corn,65,79,92,1kg
30-12-2022,Banana Flower,18,22,26,1kg
30-12-2022,Capsicum,46,55,65,1kg
30-12-2022,Bitter Gourd,28,34,40,1kg
30-12-2022,Bottle Gourd,26,31,37,1kg
30-12-2022,Butter Beans,72,87,102,1kg
30-12-2022,Broad Beans,34,41,48,1kg
30-12-2022,Cabbage,29,35,41,1kg
30-12-2022,Carrot,37,45,52,1kg
30-12-2022,Cauliflower,28,34,40,1kg
30-12-2022,Cluster beans,41,49,58,1kg
30-12-2022,Coconut,32,39,45,1kg
30-12-2022,Colocasia Leaves,15,18,21,1kg
30-12-2022,Colocasia,27,32,38,1kg
30-12-2022,Coriander Leaves,7,8,10,1kg
30-12-2022,Corn,28,34,40,1kg
30-12-2022,Cucumber,24,29,34,1kg
30-12-2022,Curry Leaves,29,35,41,1kg
30-12-2022,Dill Leaves,11,13,15,1kg
30-12-2022,Drumsticks,60,72,85,1kg
30-12-2022,Brinjal,21,25,30,1kg
30-12-2022,Brinjal (Big),28,34,40,1kg
30-12-2022,Elephant Yam,27,32,38,1kg
30-12-2022,Fenugreek Leaves,12,14,17,1kg
30-12-2022,French Beans,32,39,45,1kg
30-12-2022,Garlic,41,49,58,1kg
30-12-2022,Ginger,41,49,58,1kg
30-12-2022,Onion Green,38,46,54,1kg
30-12-2022,Green Peas,77,93,109,1kg
30-12-2022,Ivy Gourd,26,31,37,1kg
30-12-2022,Lemon (Lime),50,61,71,1kg
30-12-2022,Mango Raw,100,121,142,1kg
30-12-2022,Mint Leaves,4,5,6,1kg
