,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,2023-01-31,Onion Big,27,32,38,1kg
1,2023-01-31,Onion Small,42,50,59,1kg
2,2023-01-31,Tomato,23,27,33,1kg
3,2023-01-31,Green Chilli,40,48,57,1kg
4,2023-01-31,Beetroot,36,43,51,1kg
5,2023-01-31,Potato,34,41,48,1kg
6,2023-01-31,Raw Banana (Plantain),12,14,17,1kg
7,2023-01-31,Amaranth Leaves,12,14,17,1kg
8,2023-01-31,Amla,70,85,100,1kg
9,2023-01-31,Ash gourd,27,32,38,1kg
10,2023-01-31,Baby Corn,62,75,88,1kg
11,2023-01-31,Banana Flower,16,19,22,1kg
12,2023-01-31,Capsicum,43,52,61,1kg
13,2023-01-31,Bitter Gourd,29,35,41,1kg
14,2023-01-31,Bottle Gourd,28,34,40,1kg
15,2023-01-31,Butter Beans,74,89,105,1kg
16,2023-01-31,Broad Beans,37,45,52,1kg
17,2023-01-31,Cabbage,20,24,28,1kg
18,2023-01-31,Carrot,34,41,48,1kg
19,2023-01-31,Cauliflower,27,32,38,1kg
20,2023-01-31,Cluster beans,40,48,57,1kg
21,2023-01-31,Coconut,29,35,41,1kg
22,2023-01-31,Colocasia Leaves,11,13,15,1kg
23,2023-01-31,Colocasia,23,27,33,1kg
24,2023-01-31,Coriander Leaves,7,8,10,1kg
25,2023-01-31,Corn,29,35,41,1kg
26,2023-01-31,Cucumber,23,27,33,1kg
27,2023-01-31,Curry Leaves,30,36,43,1kg
28,2023-01-31,Dill Leaves,14,17,20,1kg
29,2023-01-31,Drumsticks,120,145,171,1kg
30,2023-01-31,Brinjal,24,29,34,1kg
31,2023-01-31,Brinjal (Big),26,31,37,1kg
32,2023-01-31,Elephant Yam,29,35,41,1kg
33,2023-01-31,Fenugreek Leaves,10,12,14,1kg
34,2023-01-31,French Beans,32,39,45,1kg
35,2023-01-31,Garlic,41,49,58,1kg
36,2023-01-31,Ginger,46,55,65,1kg
37,2023-01-31,Onion Green,38,46,54,1kg
38,2023-01-31,Green Peas,81,98,115,1kg
39,2023-01-31,Ivy Gourd,26,31,37,1kg
40,2023-01-31,Lemon (Lime),48,58,68,1kg
41,2023-01-31,Mango Raw,84,102,120,1kg
42,2023-01-31,Mint Leaves,4,5,6,1kg
43,2023-01-31,Mushroom,89,107,127,1kg
44,2023-01-31,Mustard Leaves,12,14,17,1kg
45,2023-01-31,Ladies Finger,46,55,65,1kg
46,2023-01-31,Pumpkin,30,36,43,1kg
47,2023-01-31,Radish,26,31,37,1kg
48,2023-01-31,Ridge Gourd,29,35,41,1kg
49,2023-01-31,Shallot (Pearl Onion),36,43,51,1kg
50,2023-01-31,Snake Gourd,31,37,44,1kg
51,2023-01-31,Sorrel Leaves,11,13,15,1kg
52,2023-01-31,Spinach,13,16,18,1kg
53,2023-01-31,Sweet Potato,39,47,55,1kg
54,2023-01-30,Onion Big,26,31,37,1kg
55,2023-01-30,Onion Small,40,48,57,1kg
56,2023-01-30,Tomato,28,34,40,1kg
57,2023-01-30,Green Chilli,33,40,47,1kg
58,2023-01-30,Beetroot,35,42,50,1kg
59,2023-01-30,Potato,27,32,38,1kg
60,2023-01-30,Raw Banana (Plantain),9,10,13,1kg
61,2023-01-30,Amaranth Leaves,10,12,14,1kg
62,2023-01-30,Amla,60,72,85,1kg
63,2023-01-30,Ash gourd,26,31,37,1kg
64,2023-01-30,Baby Corn,70,85,100,1kg
65,2023-01-30,Banana Flower,17,21,24,1kg
66,2023-01-30,Capsicum,50,61,71,1kg
67,2023-01-30,Bitter Gourd,26,31,37,1kg
68,2023-01-30,Bottle Gourd,25,30,35,1kg
69,2023-01-30,Butter Beans,65,79,92,1kg
70,2023-01-30,Broad Beans,40,48,57,1kg
71,2023-01-30,Cabbage,18,22,26,1kg
72,2023-01-30,Carrot,34,41,48,1kg
73,2023-01-30,Cauliflower,26,31,37,1kg
74,2023-01-30,Cluster beans,45,54,64,1kg
75,2023-01-30,Coconut,30,36,43,1kg
76,2023-01-30,Colocasia Leaves,12,14,17,1kg
77,2023-01-30,Colocasia,24,29,34,1kg
78,2023-01-30,Coriander Leaves,8,9,11,1kg
79,2023-01-30,Corn,30,36,43,1kg
80,2023-01-30,Cucumber,20,24,28,1kg
81,2023-01-30,Curry Leaves,25,30,35,1kg
82,2023-01-30,Dill Leaves,10,12,14,1kg
83,2023-01-30,Drumsticks,120,145,171,1kg
84,2023-01-30,Brinjal,23,27,33,1kg
85,2023-01-30,Brinjal (Big),28,34,40,1kg
86,2023-01-30,Elephant Yam,27,32,38,1kg
87,2023-01-30,Fenugreek Leaves,11,13,15,1kg
88,2023-01-30,French Beans,34,41,48,1kg
89,2023-01-30,Garlic,43,52,61,1kg
90,2023-01-30,Ginger,36,43,51,1kg
91,2023-01-30,Onion Green,37,45,52,1kg
92,2023-01-30,Green Peas,76,92,108,1kg
93,2023-01-30,Ivy Gourd,27,32,38,1kg
94,2023-01-30,Lemon (Lime),53,64,75,1kg
95,2023-01-30,Mango Raw,105,127,149,1kg
96,2023-01-30,Mint Leaves,4,5,6,1kg
97,2023-01-30,Mushroom,83,100,118,1kg
98,2023-01-30,Mustard Leaves,14,17,20,1kg
99,2023-01-30,Ladies Finger,35,42,50,1kg
100,2023-01-30,Pumpkin,27,32,38,1kg
101,2023-01-30,Radish,26,31,37,1kg
102,2023-01-30,Ridge Gourd,27,32,38,1kg
103,2023-01-30,Shallot (Pearl Onion),35,42,50,1kg
104,2023-01-30,Snake Gourd,28,34,40,1kg
105,2023-01-30,Sorrel Leaves,11,13,15,1kg
106,2023-01-30,Spinach,11,13,15,1kg
107,2023-01-30,Sweet Potato,39,47,55,1kg
108,2023-01-29,Onion Big,26,31,37,1kg
109,2023-01-29,Onion Small,40,48,57,1kg
110,2023-01-29,Tomato,28,34,40,1kg
111,2023-01-29,Green Chilli,33,40,47,1kg
112,2023-01-29,Beetroot,35,42,50,1kg
113,2023-01-29,Potato,27,32,38,1kg
114,2023-01-29,Raw Banana (Plantain),9,10,13,1kg
115,2023-01-29,Amaranth Leaves,10,12,14,1kg
116,2023-01-29,Amla,60,72,85,1kg
117,2023-01-29,Ash gourd,26,31,37,1kg
118,2023-01-29,Baby Corn,70,85,100,1kg
119,2023-01-29,Banana Flower,17,21,24,1kg
120,2023-01-29,Capsicum,50,61,71,1kg
121,2023-01-29,Bitter Gourd,26,31,37,1kg
122,2023-01-29,Bottle Gourd,25,30,35,1kg
123,2023-01-29,Butter Beans,65,79,92,1kg
124,2023-01-29,Broad Beans,40,48,57,1kg
125,2023-01-29,Cabbage,18,22,26,1kg
126,2023-01-29,Carrot,34,41,48,1kg
127,2023-01-29,Cauliflower,26,31,37,1kg
128,2023-01-29,Cluster beans,45,54,64,1kg
129,2023-01-29,Coconut,30,36,43,1kg
130,2023-01-29,Colocasia Leaves,12,14,17,1kg
131,2023-01-29,Colocasia,24,29,34,1kg
132,2023-01-29,Coriander Leaves,8,9,11,1kg
133,2023-01-29,Corn,30,36,43,1kg
134,2023-01-29,Cucumber,20,24,28,1kg
135,2023-01-29,Curry Leaves,25,30,35,1kg
136,2023-01-29,Dill Leaves,10,12,14,1kg
137,2023-01-29,Drumsticks,120,145,171,1kg
138,2023-01-29,Brinjal,23,27,33,1kg
139,2023-01-29,Brinjal (Big),28,34,40,1kg
140,2023-01-29,Elephant Yam,27,32,38,1kg
141,2023-01-29,Fenugreek Leaves,11,13,15,1kg
142,2023-01-29,French Beans,34,41,48,1kg
143,2023-01-29,Garlic,43,52,61,1kg
144,2023-01-29,Ginger,36,43,51,1kg
145,2023-01-29,Onion Green,37,45,52,1kg
