,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,26-10-2022,Onion Big,21,25,30,1kg
1,26-10-2022,Onion Small,30,36,43,1kg
2,26-10-2022,Tomato,34,41,48,1kg
3,26-10-2022,Green Chilli,37,45,52,1kg
4,26-10-2022,Beetroot,43,52,61,1kg
5,26-10-2022,Potato,32,39,45,1kg
6,26-10-2022,Raw Banana (Plantain),8,9,11,1kg
7,26-10-2022,Amaranth Leaves,9,10,13,1kg
8,26-10-2022,Amla,60,72,85,1kg
9,26-10-2022,Ash gourd,27,32,38,1kg
10,26-10-2022,Baby Corn,70,85,100,1kg
11,26-10-2022,Banana Flower,14,17,20,1kg
12,26-10-2022,Capsicum,42,50,59,1kg
13,26-10-2022,Bitter Gourd,30,36,43,1kg
14,26-10-2022,Bottle Gourd,22,26,31,1kg
15,26-10-2022,Butter Beans,78,94,111,1kg
16,26-10-2022,Broad Beans,34,41,48,1kg
17,26-10-2022,Cabbage,27,32,38,1kg
18,26-10-2022,Carrot,59,71,84,1kg
19,26-10-2022,Cauliflower,44,53,63,1kg
20,26-10-2022,Cluster beans,77,93,109,1kg
21,26-10-2022,Coconut,32,39,45,1kg
22,26-10-2022,Colocasia Leaves,11,13,15,1kg
23,26-10-2022,Colocasia,27,32,38,1kg
24,26-10-2022,Coriander Leaves,7,8,10,1kg
25,26-10-2022,Corn,26,31,37,1kg
26,26-10-2022,Cucumber,23,27,33,1kg
27,26-10-2022,Curry Leaves,29,35,41,1kg
28,26-10-2022,Dill Leaves,8,9,11,1kg
29,26-10-2022,Drumsticks,120,145,171,1kg
30,26-10-2022,Brinjal,18,22,26,1kg
31,26-10-2022,Brinjal (Big),27,32,38,1kg
32,26-10-2022,Elephant Yam,24,29,34,1kg
33,26-10-2022,Fenugreek Leaves,8,9,11,1kg
34,26-10-2022,French Beans,60,72,85,1kg
35,26-10-2022,Garlic,42,50,59,1kg
36,26-10-2022,Ginger,38,46,54,1kg
37,26-10-2022,Onion Green,44,53,63,1kg
38,26-10-2022,Green Peas,83,100,118,1kg
39,26-10-2022,Ivy Gourd,25,30,35,1kg
40,26-10-2022,Lemon (Lime),57,69,81,1kg
41,26-10-2022,Mango Raw,88,106,125,1kg
42,26-10-2022,Mint Leaves,5,6,7,1kg
43,26-10-2022,Mushroom,92,111,131,1kg
44,26-10-2022,Mustard Leaves,13,16,18,1kg
45,26-10-2022,Ladies Finger,20,24,28,1kg
46,26-10-2022,Pumpkin,28,34,40,1kg
47,26-10-2022,Radish,28,34,40,1kg
48,26-10-2022,Ridge Gourd,35,42,50,1kg
49,26-10-2022,Shallot (Pearl Onion),29,35,41,1kg
50,26-10-2022,Snake Gourd,31,37,44,1kg
51,26-10-2022,Sorrel Leaves,10,12,14,1kg
52,26-10-2022,Spinach,15,18,21,1kg
53,26-10-2022,Sweet Potato,36,43,51,1kg
54,25-10-2022,Onion Big,21,25,30,1kg
55,25-10-2022,Onion Small,30,36,43,1kg
56,25-10-2022,Tomato,34,41,48,1kg
57,25-10-2022,Green Chilli,37,45,52,1kg
58,25-10-2022,Beetroot,43,52,61,1kg
59,25-10-2022,Potato,32,39,45,1kg
60,25-10-2022,Raw Banana (Plantain),8,9,11,1kg
61,25-10-2022,Amaranth Leaves,9,10,13,1kg
62,25-10-2022,Amla,60,72,85,1kg
63,25-10-2022,Ash gourd,27,32,38,1kg
64,25-10-2022,Baby Corn,70,85,100,1kg
65,25-10-2022,Banana Flower,14,17,20,1kg
66,25-10-2022,Capsicum,42,50,59,1kg
67,25-10-2022,Bitter Gourd,30,36,43,1kg
68,25-10-2022,Bottle Gourd,22,26,31,1kg
69,25-10-2022,Butter Beans,78,94,111,1kg
70,25-10-2022,Broad Beans,34,41,48,1kg
71,25-10-2022,Cabbage,27,32,38,1kg
72,25-10-2022,Carrot,59,71,84,1kg
73,25-10-2022,Cauliflower,44,53,63,1kg
74,25-10-2022,Cluster beans,77,93,109,1kg
75,25-10-2022,Coconut,32,39,45,1kg
76,25-10-2022,Colocasia Leaves,11,13,15,1kg
77,25-10-2022,Colocasia,27,32,38,1kg
78,25-10-2022,Coriander Leaves,7,8,10,1kg
79,25-10-2022,Corn,26,31,37,1kg
80,25-10-2022,Cucumber,23,27,33,1kg
81,25-10-2022,Curry Leaves,29,35,41,1kg
82,25-10-2022,Dill Leaves,8,9,11,1kg
83,25-10-2022,Drumsticks,120,145,171,1kg
84,25-10-2022,Brinjal,18,22,26,1kg
85,25-10-2022,Brinjal (Big),27,32,38,1kg
86,25-10-2022,Elephant Yam,24,29,34,1kg
87,25-10-2022,Fenugreek Leaves,8,9,11,1kg
88,25-10-2022,French Beans,60,72,85,1kg
89,25-10-2022,Garlic,42,50,59,1kg
90,25-10-2022,Ginger,38,46,54,1kg
91,25-10-2022,Onion Green,44,53,63,1kg
92,25-10-2022,Green Peas,83,100,118,1kg
93,25-10-2022,Ivy Gourd,25,30,35,1kg
94,25-10-2022,Lemon (Lime),57,69,81,1kg
95,25-10-2022,Mango Raw,88,106,125,1kg
96,25-10-2022,Mint Leaves,5,6,7,1kg
97,25-10-2022,Mushroom,92,111,131,1kg
98,25-10-2022,Mustard Leaves,13,16,18,1kg
99,25-10-2022,Ladies Finger,20,24,28,1kg
100,25-10-2022,Pumpkin,28,34,40,1kg
101,25-10-2022,Radish,28,34,40,1kg
102,25-10-2022,Ridge Gourd,35,42,50,1kg
103,25-10-2022,Shallot (Pearl Onion),29,35,41,1kg
104,25-10-2022,Snake Gourd,31,37,44,1kg
105,25-10-2022,Sorrel Leaves,10,12,14,1kg
106,25-10-2022,Spinach,15,18,21,1kg
107,25-10-2022,Sweet Potato,36,43,51,1kg
108,24-10-2022,Onion Big,21,25,30,1kg
109,24-10-2022,Onion Small,30,36,43,1kg
110,24-10-2022,Tomato,34,41,48,1kg
111,24-10-2022,Green Chilli,37,45,52,1kg
112,24-10-2022,Beetroot,43,52,61,1kg
113,24-10-2022,Potato,32,39,45,1kg
114,24-10-2022,Raw Banana (Plantain),8,9,11,1kg
115,24-10-2022,Amaranth Leaves,9,10,13,1kg
116,24-10-2022,Amla,60,72,85,1kg
117,24-10-2022,Ash gourd,27,32,38,1kg
118,24-10-2022,Baby Corn,70,85,100,1kg
119,24-10-2022,Banana Flower,14,17,20,1kg
120,24-10-2022,Capsicum,42,50,59,1kg
121,24-10-2022,Bitter Gourd,30,36,43,1kg
122,24-10-2022,Bottle Gourd,22,26,31,1kg
123,24-10-2022,Butter Beans,78,94,111,1kg
124,24-10-2022,Broad Beans,34,41,48,1kg
125,24-10-2022,Cabbage,27,32,38,1kg
126,24-10-2022,Carrot,59,71,84,1kg
127,24-10-2022,Cauliflower,44,53,63,1kg
128,24-10-2022,Cluster beans,77,93,109,1kg
129,24-10-2022,Coconut,32,39,45,1kg
130,24-10-2022,Colocasia Leaves,11,13,15,1kg
131,24-10-2022,Colocasia,27,32,38,1kg
132,24-10-2022,Coriander Leaves,7,8,10,1kg
133,24-10-2022,Corn,26,31,37,1kg
134,24-10-2022,Cucumber,23,27,33,1kg
135,24-10-2022,Curry Leaves,29,35,41,1kg
136,24-10-2022,Dill Leaves,8,9,11,1kg
137,24-10-2022,Drumsticks,120,145,171,1kg
138,24-10-2022,Brinjal,18,22,26,1kg
139,24-10-2022,Brinjal (Big),27,32,38,1kg
140,24-10-2022,Elephant Yam,24,29,34,1kg
141,24-10-2022,Fenugreek Leaves,8,9,11,1kg
142,24-10-2022,French Beans,60,72,85,1kg
143,24-10-2022,Garlic,42,50,59,1kg
144,24-10-2022,Ginger,38,46,54,1kg
145,24-10-2022,Onion Green,44,53,63,1kg
146,24-10-2022,Green Peas,83,100,118,1kg
147,24-10-2022,Ivy Gourd,25,30,35,1kg
148,24-10-2022,Lemon (Lime),57,69,81,1kg
149,24-10-2022,Mango Raw,88,106,125,1kg
150,24-10-2022,Mint Leaves,5,6,7,1kg
151,24-10-2022,Mushroom,92,111,131,1kg
152,24-10-2022,Mustard Leaves,13,16,18,1kg
153,24-10-2022,Ladies Finger,20,24,28,1kg
154,24-10-2022,Pumpkin,28,34,40,1kg
155,24-10-2022,Radish,28,34,40,1kg
156,24-10-2022,Ridge Gourd,35,42,50,1kg
157,24-10-2022,Shallot (Pearl Onion),29,35,41,1kg
158,24-10-2022,Snake Gourd,31,37,44,1kg
159,24-10-2022,Sorrel Leaves,10,12,14,1kg
160,24-10-2022,Spinach,15,18,21,1kg
161,24-10-2022,Sweet Potato,36,43,51,1kg
162,23-10-2022,Onion Big,24,29,34,1kg
163,23-10-2022,Onion Small,31,37,44,1kg
164,23-10-2022,Tomato,38,46,54,1kg
165,23-10-2022,Green Chilli,38,46,54,1kg
166,23-10-2022,Beetroot,40,48,57,1kg
167,23-10-2022,Potato,31,37,44,1kg
168,23-10-2022,Raw Banana (Plantain),9,10,13,1kg
169,23-10-2022,Amaranth Leaves,9,10,13,1kg
170,23-10-2022,Amla,60,72,85,1kg
171,23-10-2022,Ash gourd,28,34,40,1kg
172,23-10-2022,Baby Corn,73,88,104,1kg
173,23-10-2022,Banana Flower,15,18,21,1kg
174,23-10-2022,Capsicum,41,49,58,1kg
175,23-10-2022,Bitter Gourd,31,37,44,1kg
176,23-10-2022,Bottle Gourd,25,30,35,1kg
177,23-10-2022,Butter Beans,81,98,115,1kg
178,23-10-2022,Broad Beans,39,47,55,1kg
179,23-10-2022,Cabbage,27,32,38,1kg
180,23-10-2022,Carrot,59,71,84,1kg
181,23-10-2022,Cauliflower,44,53,63,1kg
182,23-10-2022,Cluster beans,74,89,105,1kg
183,23-10-2022,Coconut,30,36,43,1kg
184,23-10-2022,Colocasia Leaves,13,16,18,1kg
185,23-10-2022,Colocasia,24,29,34,1kg
186,23-10-2022,Coriander Leaves,8,9,11,1kg
187,23-10-2022,Corn,22,26,31,1kg
188,23-10-2022,Cucumber,24,29,34,1kg
189,23-10-2022,Curry Leaves,30,36,43,1kg
190,23-10-2022,Dill Leaves,12,14,17,1kg
191,23-10-2022,Drumsticks,110,133,157,1kg
192,23-10-2022,Brinjal,19,23,27,1kg
193,23-10-2022,Brinjal (Big),28,34,40,1kg
194,23-10-2022,Elephant Yam,27,32,38,1kg
195,23-10-2022,Fenugreek Leaves,10,12,14,1kg
196,23-10-2022,French Beans,65,79,92,1kg
197,23-10-2022,Garlic,44,53,63,1kg
198,23-10-2022,Ginger,39,47,55,1kg
199,23-10-2022,Onion Green,41,49,58,1kg
200,23-10-2022,Green Peas,84,102,120,1kg
201,23-10-2022,Ivy Gourd,25,30,35,1kg
202,23-10-2022,Lemon (Lime),61,73,87,1kg
203,23-10-2022,Mango Raw,94,113,134,1kg
204,23-10-2022,Mint Leaves,6,7,8,1kg
205,23-10-2022,Mushroom,94,113,134,1kg
206,23-10-2022,Mustard Leaves,18,22,26,1kg
207,23-10-2022,Ladies Finger,24,29,34,1kg
208,23-10-2022,Pumpkin,29,35,41,1kg
209,23-10-2022,Radish,28,34,40,1kg
210,23-10-2022,Ridge Gourd,32,39,45,1kg
211,23-10-2022,Shallot (Pearl Onion),29,35,41,1kg
212,23-10-2022,Snake Gourd,35,42,50,1kg
213,23-10-2022,Sorrel Leaves,11,13,15,1kg
214,23-10-2022,Spinach,11,13,15,1kg
215,23-10-2022,Sweet Potato,36,43,51,1kg
216,22-10-2022,Onion Big,24,29,34,1kg
217,22-10-2022,Onion Small,31,37,44,1kg
218,22-10-2022,Tomato,38,46,54,1kg
219,22-10-2022,Green Chilli,38,46,54,1kg
220,22-10-2022,Beetroot,40,48,57,1kg
221,22-10-2022,Potato,31,37,44,1kg
222,22-10-2022,Raw Banana (Plantain),9,10,13,1kg
223,22-10-2022,Amaranth Leaves,9,10,13,1kg
224,22-10-2022,Amla,60,72,85,1kg
225,22-10-2022,Ash gourd,28,34,40,1kg
226,22-10-2022,Baby Corn,73,88,104,1kg
227,22-10-2022,Banana Flower,15,18,21,1kg
228,22-10-2022,Capsicum,41,49,58,1kg
229,22-10-2022,Bitter Gourd,31,37,44,1kg
230,22-10-2022,Bottle Gourd,25,30,35,1kg
231,22-10-2022,Butter Beans,81,98,115,1kg
232,22-10-2022,Broad Beans,39,47,55,1kg
233,22-10-2022,Cabbage,27,32,38,1kg
234,22-10-2022,Carrot,59,71,84,1kg
235,22-10-2022,Cauliflower,44,53,63,1kg
236,22-10-2022,Cluster beans,74,89,105,1kg
237,22-10-2022,Coconut,30,36,43,1kg
238,22-10-2022,Colocasia Leaves,13,16,18,1kg
