,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,2022-10-09,Onion Big,23,27,33,1kg
1,2022-10-09,Onion Small,30,36,43,1kg
2,2022-10-09,Tomato,35,42,50,1kg
3,2022-10-09,Green Chilli,37,45,52,1kg
4,2022-10-09,Beetroot,38,46,54,1kg
5,2022-10-09,Potato,34,41,48,1kg
6,2022-10-09,Raw Banana (Plantain),12,14,17,1kg
7,2022-10-09,Amaranth Leaves,9,10,13,1kg
8,2022-10-09,Amla,50,61,71,1kg
9,2022-10-09,Ash gourd,23,27,33,1kg
10,2022-10-09,Baby Corn,68,82,97,1kg
11,2022-10-09,Banana Flower,17,21,24,1kg
12,2022-10-09,Capsicum,42,50,59,1kg
13,2022-10-09,Bitter Gourd,34,41,48,1kg
14,2022-10-09,Bottle Gourd,27,32,38,1kg
15,2022-10-09,Butter Beans,75,90,107,1kg
16,2022-10-09,Broad Beans,40,48,57,1kg
17,2022-10-09,Cabbage,26,31,37,1kg
18,2022-10-09,Carrot,64,77,91,1kg
19,2022-10-09,Cauliflower,43,52,61,1kg
20,2022-10-09,Cluster beans,73,88,104,1kg
21,2022-10-09,Coconut,33,40,47,1kg
22,2022-10-09,Colocasia Leaves,11,13,15,1kg
23,2022-10-09,Colocasia,24,29,34,1kg
24,2022-10-09,Coriander Leaves,11,13,15,1kg
25,2022-10-09,Corn,28,34,40,1kg
26,2022-10-09,Cucumber,20,24,28,1kg
27,2022-10-09,Curry Leaves,27,32,38,1kg
28,2022-10-09,Dill Leaves,8,9,11,1kg
29,2022-10-09,Drumsticks,50,61,71,1kg
30,2022-10-09,Brinjal,23,27,33,1kg
31,2022-10-09,Brinjal (Big),28,34,40,1kg
32,2022-10-09,Elephant Yam,28,34,40,1kg
33,2022-10-09,Fenugreek Leaves,10,12,14,1kg
34,2022-10-09,French Beans,66,80,94,1kg
35,2022-10-09,Garlic,44,53,63,1kg
36,2022-10-09,Ginger,41,49,58,1kg
37,2022-10-09,Onion Green,39,47,55,1kg
38,2022-10-09,Green Peas,80,97,114,1kg
39,2022-10-09,Ivy Gourd,27,32,38,1kg
40,2022-10-09,Lemon (Lime),50,61,71,1kg
41,2022-10-09,Mango Raw,87,105,124,1kg
42,2022-10-09,Mint Leaves,5,6,7,1kg
43,2022-10-09,Mushroom,82,99,116,1kg
44,2022-10-09,Mustard Leaves,12,14,17,1kg
45,2022-10-09,Ladies Finger,22,26,31,1kg
46,2022-10-09,Pumpkin,24,29,34,1kg
47,2022-10-09,Radish,28,34,40,1kg
48,2022-10-09,Ridge Gourd,33,40,47,1kg
49,2022-10-09,Shallot (Pearl Onion),33,40,47,1kg
50,2022-10-09,Snake Gourd,36,43,51,1kg
51,2022-10-09,Sorrel Leaves,11,13,15,1kg
52,2022-10-09,Spinach,14,17,20,1kg
53,2022-10-09,Sweet Potato,39,47,55,1kg
54,2022-10-08,Onion Big,23,27,33,1kg
55,2022-10-08,Onion Small,30,36,43,1kg
56,2022-10-08,Tomato,35,42,50,1kg
57,2022-10-08,Green Chilli,37,45,52,1kg
58,2022-10-08,Beetroot,38,46,54,1kg
59,2022-10-08,Potato,34,41,48,1kg
60,2022-10-08,Raw Banana (Plantain),12,14,17,1kg
61,2022-10-08,Amaranth Leaves,9,10,13,1kg
62,2022-10-08,Amla,50,61,71,1kg
63,2022-10-08,Ash gourd,23,27,33,1kg
64,2022-10-08,Baby Corn,68,82,97,1kg
65,2022-10-08,Banana Flower,17,21,24,1kg
66,2022-10-08,Capsicum,42,50,59,1kg
67,2022-10-08,Bitter Gourd,34,41,48,1kg
68,2022-10-08,Bottle Gourd,27,32,38,1kg
69,2022-10-08,Butter Beans,75,90,107,1kg
70,2022-10-08,Broad Beans,40,48,57,1kg
71,2022-10-08,Cabbage,26,31,37,1kg
72,2022-10-08,Carrot,64,77,91,1kg
73,2022-10-08,Cauliflower,43,52,61,1kg
74,2022-10-08,Cluster beans,73,88,104,1kg
75,2022-10-08,Coconut,33,40,47,1kg
76,2022-10-08,Colocasia Leaves,11,13,15,1kg
77,2022-10-08,Colocasia,24,29,34,1kg
78,2022-10-08,Coriander Leaves,11,13,15,1kg
79,2022-10-08,Corn,28,34,40,1kg
80,2022-10-08,Cucumber,20,24,28,1kg
81,2022-10-08,Curry Leaves,27,32,38,1kg
82,2022-10-08,Dill Leaves,8,9,11,1kg
83,2022-10-08,Drumsticks,50,61,71,1kg
84,2022-10-08,Brinjal,23,27,33,1kg
85,2022-10-08,Brinjal (Big),28,34,40,1kg
86,2022-10-08,Elephant Yam,28,34,40,1kg
87,2022-10-08,Fenugreek Leaves,10,12,14,1kg
88,2022-10-08,French Beans,66,80,94,1kg
89,2022-10-08,Garlic,44,53,63,1kg
90,2022-10-08,Ginger,41,49,58,1kg
91,2022-10-08,Onion Green,39,47,55,1kg
92,2022-10-08,Green Peas,80,97,114,1kg
93,2022-10-08,Ivy Gourd,27,32,38,1kg
94,2022-10-08,Lemon (Lime),50,61,71,1kg
95,2022-10-08,Mango Raw,87,105,124,1kg
96,2022-10-08,Mint Leaves,5,6,7,1kg
97,2022-10-08,Mushroom,82,99,116,1kg
98,2022-10-08,Mustard Leaves,12,14,17,1kg
99,2022-10-08,Ladies Finger,22,26,31,1kg
100,2022-10-08,Pumpkin,24,29,34,1kg
101,2022-10-08,Radish,28,34,40,1kg
102,2022-10-08,Ridge Gourd,33,40,47,1kg
103,2022-10-08,Shallot (Pearl Onion),33,40,47,1kg
104,2022-10-08,Snake Gourd,36,43,51,1kg
105,2022-10-08,Sorrel Leaves,11,13,15,1kg
106,2022-10-08,Spinach,14,17,20,1kg
107,2022-10-08,Sweet Potato,39,47,55,1kg
108,2022-10-07,Onion Big,21,25,30,1kg
109,2022-10-07,Onion Small,32,39,45,1kg
110,2022-10-07,Tomato,38,46,54,1kg
111,2022-10-07,Green Chilli,35,42,50,1kg
112,2022-10-07,Beetroot,36,43,51,1kg
113,2022-10-07,Potato,32,39,45,1kg
114,2022-10-07,Raw Banana (Plantain),12,14,17,1kg
115,2022-10-07,Amaranth Leaves,9,10,13,1kg
116,2022-10-07,Amla,60,72,85,1kg
117,2022-10-07,Ash gourd,25,30,35,1kg
118,2022-10-07,Baby Corn,69,83,98,1kg
119,2022-10-07,Banana Flower,12,14,17,1kg
120,2022-10-07,Capsicum,43,52,61,1kg
121,2022-10-07,Bitter Gourd,34,41,48,1kg
122,2022-10-07,Bottle Gourd,25,30,35,1kg
123,2022-10-07,Butter Beans,76,92,108,1kg
124,2022-10-07,Broad Beans,39,47,55,1kg
125,2022-10-07,Cabbage,30,36,43,1kg
126,2022-10-07,Carrot,71,86,101,1kg
127,2022-10-07,Cauliflower,42,50,59,1kg
128,2022-10-07,Cluster beans,75,90,107,1kg
129,2022-10-07,Coconut,33,40,47,1kg
130,2022-10-07,Colocasia Leaves,14,17,20,1kg
131,2022-10-07,Colocasia,27,32,38,1kg
132,2022-10-07,Coriander Leaves,8,9,11,1kg
133,2022-10-07,Corn,28,34,40,1kg
134,2022-10-07,Cucumber,24,29,34,1kg
135,2022-10-07,Curry Leaves,29,35,41,1kg
136,2022-10-07,Dill Leaves,10,12,14,1kg
137,2022-10-07,Drumsticks,50,61,71,1kg
138,2022-10-07,Brinjal,24,29,34,1kg
139,2022-10-07,Brinjal (Big),26,31,37,1kg
140,2022-10-07,Elephant Yam,30,36,43,1kg
141,2022-10-07,Fenugreek Leaves,9,10,13,1kg
142,2022-10-07,French Beans,67,81,95,1kg
143,2022-10-07,Garlic,48,58,68,1kg
144,2022-10-07,Ginger,45,54,64,1kg
145,2022-10-07,Onion Green,45,54,64,1kg
146,2022-10-07,Green Peas,84,102,120,1kg
147,2022-10-07,Ivy Gourd,27,32,38,1kg
148,2022-10-07,Lemon (Lime),51,62,72,1kg
149,2022-10-07,Mango Raw,83,100,118,1kg
150,2022-10-07,Mint Leaves,6,7,8,1kg
151,2022-10-07,Mushroom,84,102,120,1kg
152,2022-10-07,Mustard Leaves,14,17,20,1kg
153,2022-10-07,Ladies Finger,22,26,31,1kg
154,2022-10-07,Pumpkin,27,32,38,1kg
155,2022-10-07,Radish,30,36,43,1kg
156,2022-10-07,Ridge Gourd,29,35,41,1kg
157,2022-10-07,Shallot (Pearl Onion),35,42,50,1kg
158,2022-10-07,Snake Gourd,35,42,50,1kg
159,2022-10-07,Sorrel Leaves,12,14,17,1kg
160,2022-10-07,Spinach,14,17,20,1kg
161,2022-10-07,Sweet Potato,40,48,57,1kg
162,2022-10-06,Onion Big,21,25,30,1kg
163,2022-10-06,Onion Small,32,39,45,1kg
164,2022-10-06,Tomato,38,46,54,1kg
165,2022-10-06,Green Chilli,35,42,50,1kg
166,2022-10-06,Beetroot,36,43,51,1kg
167,2022-10-06,Potato,32,39,45,1kg
168,2022-10-06,Raw Banana (Plantain),12,14,17,1kg
169,2022-10-06,Amaranth Leaves,9,10,13,1kg
170,2022-10-06,Amla,60,72,85,1kg
171,2022-10-06,Ash gourd,25,30,35,1kg
172,2022-10-06,Baby Corn,69,83,98,1kg
173,2022-10-06,Banana Flower,12,14,17,1kg
174,2022-10-06,Capsicum,43,52,61,1kg
175,2022-10-06,Bitter Gourd,34,41,48,1kg
176,2022-10-06,Bottle Gourd,25,30,35,1kg
177,2022-10-06,Butter Beans,76,92,108,1kg
178,2022-10-06,Broad Beans,39,47,55,1kg
179,2022-10-06,Cabbage,30,36,43,1kg
180,2022-10-06,Carrot,71,86,101,1kg
181,2022-10-06,Cauliflower,42,50,59,1kg
182,2022-10-06,Cluster beans,75,90,107,1kg
183,2022-10-06,Coconut,33,40,47,1kg
184,2022-10-06,Colocasia Leaves,14,17,20,1kg
185,2022-10-06,Colocasia,27,32,38,1kg
186,2022-10-06,Coriander Leaves,8,9,11,1kg
187,2022-10-06,Corn,28,34,40,1kg
188,2022-10-06,Cucumber,24,29,34,1kg
189,2022-10-06,Curry Leaves,29,35,41,1kg
190,2022-10-06,Dill Leaves,10,12,14,1kg
191,2022-10-06,Drumsticks,50,61,71,1kg
192,2022-10-06,Brinjal,24,29,34,1kg
193,2022-10-06,Brinjal (Big),26,31,37,1kg
194,2022-10-06,Elephant Yam,30,36,43,1kg
