,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,26-10-2022,Onion Big,24,29,34,1kg
1,26-10-2022,Onion Small,27,32,38,1kg
2,26-10-2022,Tomato,34,41,48,1kg
3,26-10-2022,Green Chilli,37,45,52,1kg
4,26-10-2022,Beetroot,40,48,57,1kg
5,26-10-2022,Potato,30,36,43,1kg
6,26-10-2022,Raw Banana (Plantain),11,13,15,1kg
7,26-10-2022,Amaranth Leaves,8,9,11,1kg
8,26-10-2022,Amla,60,72,85,1kg
9,26-10-2022,Ash gourd,26,31,37,1kg
10,26-10-2022,Baby Corn,72,87,102,1kg
11,26-10-2022,Banana Flower,15,18,21,1kg
12,26-10-2022,Capsicum,44,53,63,1kg
13,26-10-2022,Bitter Gourd,34,41,48,1kg
14,26-10-2022,Bottle Gourd,24,29,34,1kg
15,26-10-2022,Butter Beans,79,95,112,1kg
16,26-10-2022,Broad Beans,38,46,54,1kg
17,26-10-2022,Cabbage,23,27,33,1kg
18,26-10-2022,Carrot,64,77,91,1kg
19,26-10-2022,Cauliflower,45,54,64,1kg
20,26-10-2022,Cluster beans,82,99,116,1kg
21,26-10-2022,Coconut,31,37,44,1kg
22,26-10-2022,Colocasia Leaves,13,16,18,1kg
23,26-10-2022,Colocasia,26,31,37,1kg
24,26-10-2022,Coriander Leaves,12,14,17,1kg
25,26-10-2022,Corn,27,32,38,1kg
26,26-10-2022,Cucumber,26,31,37,1kg
27,26-10-2022,Curry Leaves,29,35,41,1kg
28,26-10-2022,Dill Leaves,9,10,13,1kg
29,26-10-2022,Drumsticks,120,145,171,1kg
30,26-10-2022,Brinjal,25,30,35,1kg
31,26-10-2022,Brinjal (Big),27,32,38,1kg
32,26-10-2022,Elephant Yam,24,29,34,1kg
33,26-10-2022,Fenugreek Leaves,10,12,14,1kg
34,26-10-2022,French Beans,66,80,94,1kg
35,26-10-2022,Garlic,41,49,58,1kg
36,26-10-2022,Ginger,44,53,63,1kg
37,26-10-2022,Onion Green,39,47,55,1kg
38,26-10-2022,Green Peas,83,100,118,1kg
