,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
105,30-12-2022,Sorrel Leaves,12,14,17,1kg
106,30-12-2022,Spinach,13,16,18,1kg
107,30-12-2022,Sweet Potato,38,46,54,1kg
108,29-12-2022,Onion Big,30,36,43,1kg
109,29-12-2022,Onion Small,39,47,55,1kg
110,29-12-2022,Tomato,16,19,22,1kg
111,29-12-2022,Green Chilli,32,39,45,1kg
112,29-12-2022,Beetroot,37,45,52,1kg
113,29-12-2022,Potato,32,39,45,1kg
114,29-12-2022,Raw Banana (Plantain),9,10,13,1kg
115,29-12-2022,Amaranth Leaves,12,14,17,1kg
116,29-12-2022,Amla,70,85,100,1kg
117,29-12-2022,Ash gourd,27,32,38,1kg
118,29-12-2022,Baby Corn,63,76,90,1kg
119,29-12-2022,Banana Flower,14,17,20,1kg
120,29-12-2022,Capsicum,44,53,63,1kg
121,29-12-2022,Bitter Gourd,34,41,48,1kg
122,29-12-2022,Bottle Gourd,30,36,43,1kg
123,29-12-2022,Butter Beans,75,90,107,1kg
124,29-12-2022,Broad Beans,36,43,51,1kg
125,29-12-2022,Cabbage,24,29,34,1kg
126,29-12-2022,Carrot,36,43,51,1kg
127,29-12-2022,Cauliflower,28,34,40,1kg
128,29-12-2022,Cluster beans,43,52,61,1kg
129,29-12-2022,Coconut,28,34,40,1kg
130,29-12-2022,Colocasia Leaves,10,12,14,1kg
131,29-12-2022,Colocasia,26,31,37,1kg
132,29-12-2022,Coriander Leaves,6,7,8,1kg
133,29-12-2022,Corn,30,36,43,1kg
134,29-12-2022,Cucumber,25,30,35,1kg
135,29-12-2022,Curry Leaves,28,34,40,1kg
136,29-12-2022,Dill Leaves,11,13,15,1kg
137,29-12-2022,Drumsticks,80,97,114,1kg
138,29-12-2022,Brinjal,27,32,38,1kg
139,29-12-2022,Brinjal (Big),26,31,37,1kg
140,29-12-2022,Elephant Yam,26,31,37,1kg
141,29-12-2022,Fenugreek Leaves,12,14,17,1kg
142,29-12-2022,French Beans,30,36,43,1kg
143,29-12-2022,Garlic,40,48,57,1kg
144,29-12-2022,Ginger,45,54,64,1kg
145,29-12-2022,Onion Green,41,49,58,1kg
146,29-12-2022,Green Peas,81,98,115,1kg
147,29-12-2022,Ivy Gourd,22,26,31,1kg
148,29-12-2022,Lemon (Lime),56,67,79,1kg
149,29-12-2022,Mango Raw,85,103,121,1kg
150,29-12-2022,Mint Leaves,4,5,6,1kg
151,29-12-2022,Mushroom,81,98,115,1kg
152,29-12-2022,Mustard Leaves,18,22,26,1kg
153,29-12-2022,Ladies Finger,29,35,41,1kg
154,29-12-2022,Pumpkin,30,36,43,1kg
155,29-12-2022,Radish,26,31,37,1kg
156,29-12-2022,Ridge Gourd,28,34,40,1kg
157,29-12-2022,Shallot (Pearl Onion),36,43,51,1kg
158,29-12-2022,Snake Gourd,28,34,40,1kg
159,29-12-2022,Sorrel Leaves,12,14,17,1kg
160,29-12-2022,Spinach,13,16,18,1kg
161,29-12-2022,Sweet Potato,38,46,54,1kg
162,28-12-2022,Onion Big,27,32,38,1kg
163,28-12-2022,Onion Small,38,46,54,1kg
164,28-12-2022,Tomato,17,21,24,1kg
165,28-12-2022,Green Chilli,33,40,47,1kg
166,28-12-2022,Beetroot,39,47,55,1kg
167,28-12-2022,Potato,27,32,38,1kg
168,28-12-2022,Raw Banana (Plantain),9,10,13,1kg
169,28-12-2022,Amaranth Leaves,10,12,14,1kg
170,28-12-2022,Amla,60,72,85,1kg
171,28-12-2022,Ash gourd,24,29,34,1kg
172,28-12-2022,Baby Corn,69,83,98,1kg
173,28-12-2022,Banana Flower,12,14,17,1kg
174,28-12-2022,Capsicum,43,52,61,1kg
175,28-12-2022,Bitter Gourd,26,31,37,1kg
176,28-12-2022,Bottle Gourd,27,32,38,1kg
177,28-12-2022,Butter Beans,67,81,95,1kg
178,28-12-2022,Broad Beans,35,42,50,1kg
179,28-12-2022,Cabbage,30,36,43,1kg
180,28-12-2022,Carrot,31,37,44,1kg
181,28-12-2022,Cauliflower,27,32,38,1kg
182,28-12-2022,Cluster beans,42,50,59,1kg
183,28-12-2022,Coconut,31,37,44,1kg
184,28-12-2022,Colocasia Leaves,10,12,14,1kg
185,28-12-2022,Colocasia,25,30,35,1kg
186,28-12-2022,Coriander Leaves,6,7,8,1kg
187,28-12-2022,Corn,28,34,40,1kg
188,28-12-2022,Cucumber,25,30,35,1kg
189,28-12-2022,Curry Leaves,30,36,43,1kg
190,28-12-2022,Dill Leaves,12,14,17,1kg
191,28-12-2022,Drumsticks,70,85,100,1kg
192,28-12-2022,Brinjal,25,30,35,1kg
193,28-12-2022,Brinjal (Big),24,29,34,1kg
194,28-12-2022,Elephant Yam,27,32,38,1kg
195,28-12-2022,Fenugreek Leaves,9,10,13,1kg
196,28-12-2022,French Beans,27,32,38,1kg
197,28-12-2022,Garlic,40,48,57,1kg
198,28-12-2022,Ginger,43,52,61,1kg
199,28-12-2022,Onion Green,42,50,59,1kg
200,28-12-2022,Green Peas,85,103,121,1kg
201,28-12-2022,Ivy Gourd,24,29,34,1kg
202,28-12-2022,Lemon (Lime),56,67,79,1kg
203,28-12-2022,Mango Raw,87,105,124,1kg
204,28-12-2022,Mint Leaves,6,7,8,1kg
205,28-12-2022,Mushroom,83,100,118,1kg
206,28-12-2022,Mustard Leaves,18,22,26,1kg
207,28-12-2022,Ladies Finger,28,34,40,1kg
208,28-12-2022,Pumpkin,28,34,40,1kg
209,28-12-2022,Radish,22,26,31,1kg
210,28-12-2022,Ridge Gourd,25,30,35,1kg
211,28-12-2022,Shallot (Pearl Onion),36,43,51,1kg
212,28-12-2022,Snake Gourd,28,34,40,1kg
213,28-12-2022,Sorrel Leaves,13,16,18,1kg
214,28-12-2022,Spinach,15,18,21,1kg
215,28-12-2022,Sweet Potato,37,45,52,1kg
216,27-12-2022,Onion Big,27,32,38,1kg
217,27-12-2022,Onion Small,38,46,54,1kg
218,27-12-2022,Tomato,17,21,24,1kg
219,27-12-2022,Green Chilli,33,40,47,1kg
220,27-12-2022,Beetroot,39,47,55,1kg
221,27-12-2022,Potato,27,32,38,1kg
222,27-12-2022,Raw Banana (Plantain),9,10,13,1kg
223,27-12-2022,Amaranth Leaves,10,12,14,1kg
224,27-12-2022,Amla,60,72,85,1kg
225,27-12-2022,Ash gourd,24,29,34,1kg
226,27-12-2022,Baby Corn,69,83,98,1kg
227,27-12-2022,Banana Flower,12,14,17,1kg
228,27-12-2022,Capsicum,43,52,61,1kg
229,27-12-2022,Bitter Gourd,26,31,37,1kg
230,27-12-2022,Bottle Gourd,27,32,38,1kg
231,27-12-2022,Butter Beans,67,81,95,1kg
232,27-12-2022,Broad Beans,35,42,50,1kg
233,27-12-2022,Cabbage,30,36,43,1kg
234,27-12-2022,Carrot,31,37,44,1kg
235,27-12-2022,Cauliflower,27,32,38,1kg
236,27-12-2022,Cluster beans,42,50,59,1kg
237,27-12-2022,Coconut,31,37,44,1kg
238,27-12-2022,Colocasia Leaves,10,12,14,1kg
239,27-12-2022,Colocasia,25,30,35,1kg
240,27-12-2022,Coriander Leaves,6,7,8,1kg
241,27-12-2022,Corn,28,34,40,1kg
242,27-12-2022,Cucumber,25,30,35,1kg
243,27-12-2022,Curry Leaves,30,36,43,1kg
244,27-12-2022,Dill Leaves,12,14,17,1kg
245,27-12-2022,Drumsticks,70,85,100,1kg
246,27-12-2022,Brinjal,25,30,35,1kg
247,27-12-2022,Brinjal (Big),24,29,34,1kg
248,27-12-2022,Elephant Yam,27,32,38,1kg
249,27-12-2022,Fenugreek Leaves,9,10,13,1kg
250,27-12-2022,French Beans,27,32,38,1kg
251,27-12-2022,Garlic,40,48,57,1kg
252,27-12-2022,Ginger,43,52,61,1kg
253,27-12-2022,Onion Green,42,50,59,1kg
254,27-12-2022,Green Peas,85,103,121,1kg
255,27-12-2022,Ivy Gourd,24,29,34,1kg
256,27-12-2022,Lemon (Lime),56,67,79,1kg
257,27-12-2022,Mango Raw,87,105,124,1kg
258,27-12-2022,Mint Leaves,6,7,8,1kg
259,27-12-2022,Mushroom,83,100,118,1kg
260,27-12-2022,Mustard Leaves,18,22,26,1kg
261,27-12-2022,Ladies Finger,28,34,40,1kg
262,27-12-2022,Pumpkin,28,34,40,1kg
263,27-12-2022,Radish,22,26,31,1kg
264,27-12-2022,Ridge Gourd,25,30,35,1kg
265,27-12-2022,Shallot (Pearl Onion),36,43,51,1kg
266,27-12-2022,Snake Gourd,28,34,40,1kg
267,27-12-2022,Sorrel Leaves,13,16,18,1kg
268,27-12-2022,Spinach,15,18,21,1kg
269,27-12-2022,Sweet Potato,37,45,52,1kg
270,26-12-2022,Onion Big,25,30,35,1kg
271,26-12-2022,Onion Small,36,43,51,1kg
272,26-12-2022,Tomato,15,18,21,1kg
273,26-12-2022,Green Chilli,39,47,55,1kg
274,26-12-2022,Beetroot,33,40,47,1kg
275,26-12-2022,Potato,30,36,43,1kg
276,26-12-2022,Raw Banana (Plantain),9,10,13,1kg
277,26-12-2022,Amaranth Leaves,11,13,15,1kg
278,26-12-2022,Amla,60,72,85,1kg
279,26-12-2022,Ash gourd,27,32,38,1kg
280,26-12-2022,Baby Corn,64,77,91,1kg
281,26-12-2022,Banana Flower,17,21,24,1kg
282,26-12-2022,Capsicum,44,53,63,1kg
283,26-12-2022,Bitter Gourd,29,35,41,1kg
284,26-12-2022,Bottle Gourd,30,36,43,1kg
285,26-12-2022,Butter Beans,76,92,108,1kg
286,26-12-2022,Broad Beans,38,46,54,1kg
287,26-12-2022,Cabbage,26,31,37,1kg
288,26-12-2022,Carrot,32,39,45,1kg
289,26-12-2022,Cauliflower,24,29,34,1kg
290,26-12-2022,Cluster beans,45,54,64,1kg
291,26-12-2022,Coconut,32,39,45,1kg
292,26-12-2022,Colocasia Leaves,14,17,20,1kg
293,26-12-2022,Colocasia,27,32,38,1kg
294,26-12-2022,Coriander Leaves,6,7,8,1kg
295,26-12-2022,Corn,27,32,38,1kg
296,26-12-2022,Cucumber,24,29,34,1kg
297,26-12-2022,Curry Leaves,26,31,37,1kg
298,26-12-2022,Dill Leaves,13,16,18,1kg
299,26-12-2022,Drumsticks,70,85,100,1kg
300,26-12-2022,Brinjal,27,32,38,1kg
301,26-12-2022,Brinjal (Big),23,27,33,1kg
302,26-12-2022,Elephant Yam,27,32,38,1kg
303,26-12-2022,Fenugreek Leaves,12,14,17,1kg
304,26-12-2022,French Beans,32,39,45,1kg
305,26-12-2022,Garlic,30,36,43,1kg
306,26-12-2022,Ginger,40,48,57,1kg
307,26-12-2022,Onion Green,39,47,55,1kg
308,26-12-2022,Green Peas,83,100,118,1kg
309,26-12-2022,Ivy Gourd,22,26,31,1kg
