,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
105,10-09-2022,Sorrel Leaves,10,12,14,1kg
106,10-09-2022,Spinach,10,12,14,1kg
107,10-09-2022,Sweet Potato,38,46,54,1kg
108,09-09-2022,Onion Big,28,34,40,1kg
109,09-09-2022,Onion Small,32,39,45,1kg
110,09-09-2022,Tomato,33,40,47,1kg
111,09-09-2022,Green Chilli,35,42,50,1kg
112,09-09-2022,Beetroot,35,42,50,1kg
113,09-09-2022,Potato,33,40,47,1kg
114,09-09-2022,Raw Banana (Plantain),10,12,14,1kg
115,09-09-2022,Amaranth Leaves,10,12,14,1kg
116,09-09-2022,Amla,50,61,71,1kg
117,09-09-2022,Ash gourd,26,31,37,1kg
118,09-09-2022,Baby Corn,64,77,91,1kg
119,09-09-2022,Banana Flower,18,22,26,1kg
120,09-09-2022,Capsicum,34,41,48,1kg
121,09-09-2022,Bitter Gourd,39,47,55,1kg
122,09-09-2022,Bottle Gourd,26,31,37,1kg
123,09-09-2022,Butter Beans,72,87,102,1kg
124,09-09-2022,Broad Beans,45,54,64,1kg
125,09-09-2022,Cabbage,21,25,30,1kg
126,09-09-2022,Carrot,43,52,61,1kg
127,09-09-2022,Cauliflower,26,31,37,1kg
128,09-09-2022,Cluster beans,35,42,50,1kg
129,09-09-2022,Coconut,32,39,45,1kg
130,09-09-2022,Colocasia Leaves,14,17,20,1kg
131,09-09-2022,Colocasia,22,26,31,1kg
132,09-09-2022,Coriander Leaves,8,9,11,1kg
133,09-09-2022,Corn,26,31,37,1kg
134,09-09-2022,Cucumber,20,24,28,1kg
135,09-09-2022,Curry Leaves,28,34,40,1kg
136,09-09-2022,Dill Leaves,14,17,20,1kg
137,09-09-2022,Drumsticks,40,48,57,1kg
138,09-09-2022,Brinjal,27,32,38,1kg
139,09-09-2022,Brinjal (Big),29,35,41,1kg
140,09-09-2022,Elephant Yam,25,30,35,1kg
141,09-09-2022,Fenugreek Leaves,8,9,11,1kg
142,09-09-2022,French Beans,50,61,71,1kg
143,09-09-2022,Garlic,72,87,102,1kg
144,09-09-2022,Ginger,40,48,57,1kg
145,09-09-2022,Onion Green,43,52,61,1kg
146,09-09-2022,Green Peas,79,95,112,1kg
147,09-09-2022,Ivy Gourd,27,32,38,1kg
148,09-09-2022,Lemon (Lime),53,64,75,1kg
149,09-09-2022,Mango Raw,86,104,122,1kg
150,09-09-2022,Mint Leaves,6,7,8,1kg
151,09-09-2022,Mushroom,78,94,111,1kg
152,09-09-2022,Mustard Leaves,13,16,18,1kg
153,09-09-2022,Ladies Finger,20,24,28,1kg
154,09-09-2022,Pumpkin,20,24,28,1kg
155,09-09-2022,Radish,28,34,40,1kg
156,09-09-2022,Ridge Gourd,29,35,41,1kg
157,09-09-2022,Shallot (Pearl Onion),34,41,48,1kg
158,09-09-2022,Snake Gourd,27,32,38,1kg
159,09-09-2022,Sorrel Leaves,10,12,14,1kg
160,09-09-2022,Spinach,12,14,17,1kg
161,09-09-2022,Sweet Potato,38,46,54,1kg
162,08-09-2022,Onion Big,28,34,40,1kg
163,08-09-2022,Onion Small,32,39,45,1kg
164,08-09-2022,Tomato,33,40,47,1kg
165,08-09-2022,Green Chilli,35,42,50,1kg
166,08-09-2022,Beetroot,35,42,50,1kg
167,08-09-2022,Potato,33,40,47,1kg
168,08-09-2022,Raw Banana (Plantain),10,12,14,1kg
169,08-09-2022,Amaranth Leaves,10,12,14,1kg
170,08-09-2022,Amla,50,61,71,1kg
171,08-09-2022,Ash gourd,26,31,37,1kg
172,08-09-2022,Baby Corn,64,77,91,1kg
173,08-09-2022,Banana Flower,18,22,26,1kg
174,08-09-2022,Capsicum,34,41,48,1kg
175,08-09-2022,Bitter Gourd,39,47,55,1kg
176,08-09-2022,Bottle Gourd,26,31,37,1kg
177,08-09-2022,Butter Beans,72,87,102,1kg
178,08-09-2022,Broad Beans,45,54,64,1kg
179,08-09-2022,Cabbage,21,25,30,1kg
180,08-09-2022,Carrot,43,52,61,1kg
181,08-09-2022,Cauliflower,26,31,37,1kg
182,08-09-2022,Cluster beans,35,42,50,1kg
183,08-09-2022,Coconut,32,39,45,1kg
184,08-09-2022,Colocasia Leaves,14,17,20,1kg
185,08-09-2022,Colocasia,22,26,31,1kg
186,08-09-2022,Coriander Leaves,8,9,11,1kg
187,08-09-2022,Corn,26,31,37,1kg
188,08-09-2022,Cucumber,20,24,28,1kg
189,08-09-2022,Curry Leaves,28,34,40,1kg
190,08-09-2022,Dill Leaves,14,17,20,1kg
191,08-09-2022,Drumsticks,40,48,57,1kg
192,08-09-2022,Brinjal,27,32,38,1kg
193,08-09-2022,Brinjal (Big),29,35,41,1kg
194,08-09-2022,Elephant Yam,25,30,35,1kg
195,08-09-2022,Fenugreek Leaves,8,9,11,1kg
196,08-09-2022,French Beans,50,61,71,1kg
197,08-09-2022,Garlic,72,87,102,1kg
198,08-09-2022,Ginger,40,48,57,1kg
199,08-09-2022,Onion Green,43,52,61,1kg
200,08-09-2022,Green Peas,79,95,112,1kg
201,08-09-2022,Ivy Gourd,27,32,38,1kg
202,08-09-2022,Lemon (Lime),53,64,75,1kg
