,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,2022-08-21,Onion Big,24,29,34,1kg
1,2022-08-21,Onion Small,33,40,47,1kg
2,2022-08-21,Tomato,17,21,24,1kg
3,2022-08-21,Green Chilli,39,47,55,1kg
4,2022-08-21,Beetroot,36,43,51,1kg
5,2022-08-21,Potato,32,39,45,1kg
6,2022-08-21,Raw Banana (Plantain),9,10,13,1kg
7,2022-08-21,Amaranth Leaves,9,10,13,1kg
8,2022-08-21,Amla,50,61,71,1kg
9,2022-08-21,Ash gourd,26,31,37,1kg
10,2022-08-21,Baby Corn,67,81,95,1kg
11,2022-08-21,Banana Flower,14,17,20,1kg
12,2022-08-21,Capsicum,30,36,43,1kg
13,2022-08-21,Bitter Gourd,41,49,58,1kg
14,2022-08-21,Bottle Gourd,30,36,43,1kg
15,2022-08-21,Butter Beans,73,88,104,1kg
16,2022-08-21,Broad Beans,45,54,64,1kg
17,2022-08-21,Cabbage,30,36,43,1kg
18,2022-08-21,Carrot,52,63,74,1kg
19,2022-08-21,Cauliflower,25,30,35,1kg
20,2022-08-21,Cluster beans,34,41,48,1kg
21,2022-08-21,Coconut,32,39,45,1kg
22,2022-08-21,Colocasia Leaves,13,16,18,1kg
23,2022-08-21,Colocasia,23,27,33,1kg
24,2022-08-21,Coriander Leaves,9,10,13,1kg
25,2022-08-21,Corn,24,29,34,1kg
26,2022-08-21,Cucumber,24,29,34,1kg
27,2022-08-21,Curry Leaves,26,31,37,1kg
28,2022-08-21,Dill Leaves,12,14,17,1kg
29,2022-08-21,Drumsticks,40,48,57,1kg
30,2022-08-21,Brinjal,32,39,45,1kg
31,2022-08-21,Brinjal (Big),29,35,41,1kg
32,2022-08-21,Elephant Yam,25,30,35,1kg
33,2022-08-21,Fenugreek Leaves,7,8,10,1kg
34,2022-08-21,French Beans,62,75,88,1kg
35,2022-08-21,Garlic,75,90,107,1kg
36,2022-08-21,Ginger,41,49,58,1kg
37,2022-08-21,Onion Green,42,50,59,1kg
38,2022-08-21,Green Peas,71,86,101,1kg
39,2022-08-21,Ivy Gourd,26,31,37,1kg
40,2022-08-21,Lemon (Lime),53,64,75,1kg
41,2022-08-21,Mango Raw,100,121,142,1kg
42,2022-08-21,Mint Leaves,4,5,6,1kg
43,2022-08-21,Mushroom,83,100,118,1kg
44,2022-08-21,Mustard Leaves,17,21,24,1kg
45,2022-08-21,Ladies Finger,34,41,48,1kg
46,2022-08-21,Pumpkin,22,26,31,1kg
47,2022-08-21,Radish,24,29,34,1kg
48,2022-08-21,Ridge Gourd,30,36,43,1kg
49,2022-08-21,Shallot (Pearl Onion),34,41,48,1kg
50,2022-08-21,Snake Gourd,27,32,38,1kg
51,2022-08-21,Sorrel Leaves,11,13,15,1kg
52,2022-08-21,Spinach,13,16,18,1kg
53,2022-08-21,Sweet Potato,37,45,52,1kg
54,2022-08-20,Onion Big,28,34,40,1kg
55,2022-08-20,Onion Small,34,41,48,1kg
56,2022-08-20,Tomato,16,19,22,1kg
57,2022-08-20,Green Chilli,35,42,50,1kg
58,2022-08-20,Beetroot,42,50,59,1kg
59,2022-08-20,Potato,32,39,45,1kg
60,2022-08-20,Raw Banana (Plantain),12,14,17,1kg
61,2022-08-20,Amaranth Leaves,9,10,13,1kg
62,2022-08-20,Amla,50,61,71,1kg
63,2022-08-20,Ash gourd,25,30,35,1kg
64,2022-08-20,Baby Corn,50,61,71,1kg
65,2022-08-20,Banana Flower,12,14,17,1kg
66,2022-08-20,Capsicum,35,42,50,1kg
67,2022-08-20,Bitter Gourd,32,39,45,1kg
68,2022-08-20,Bottle Gourd,29,35,41,1kg
69,2022-08-20,Butter Beans,72,87,102,1kg
70,2022-08-20,Broad Beans,41,49,58,1kg
71,2022-08-20,Cabbage,30,36,43,1kg
72,2022-08-20,Carrot,45,54,64,1kg
73,2022-08-20,Cauliflower,24,29,34,1kg
74,2022-08-20,Cluster beans,36,43,51,1kg
75,2022-08-20,Coconut,35,42,50,1kg
76,2022-08-20,Colocasia Leaves,14,17,20,1kg
77,2022-08-20,Colocasia,26,31,37,1kg
78,2022-08-20,Coriander Leaves,8,9,11,1kg
79,2022-08-20,Corn,27,32,38,1kg
80,2022-08-20,Cucumber,23,27,33,1kg
81,2022-08-20,Curry Leaves,26,31,37,1kg
82,2022-08-20,Dill Leaves,12,14,17,1kg
83,2022-08-20,Drumsticks,30,36,43,1kg
84,2022-08-20,Brinjal,32,39,45,1kg
85,2022-08-20,Brinjal (Big),27,32,38,1kg
86,2022-08-20,Elephant Yam,25,30,35,1kg
87,2022-08-20,Fenugreek Leaves,8,9,11,1kg
88,2022-08-20,French Beans,65,79,92,1kg
89,2022-08-20,Garlic,74,89,105,1kg
90,2022-08-20,Ginger,41,49,58,1kg
91,2022-08-20,Onion Green,40,48,57,1kg
92,2022-08-20,Green Peas,70,85,100,1kg
93,2022-08-20,Ivy Gourd,28,34,40,1kg
94,2022-08-20,Lemon (Lime),58,70,83,1kg
95,2022-08-20,Mango Raw,91,110,129,1kg
96,2022-08-20,Mint Leaves,6,7,8,1kg
97,2022-08-20,Mushroom,92,111,131,1kg
98,2022-08-20,Mustard Leaves,15,18,21,1kg
99,2022-08-20,Ladies Finger,37,45,52,1kg
100,2022-08-20,Pumpkin,26,31,37,1kg
101,2022-08-20,Radish,30,36,43,1kg
102,2022-08-20,Ridge Gourd,26,31,37,1kg
103,2022-08-20,Shallot (Pearl Onion),37,45,52,1kg
104,2022-08-20,Snake Gourd,30,36,43,1kg
105,2022-08-20,Sorrel Leaves,12,14,17,1kg
106,2022-08-20,Spinach,15,18,21,1kg
107,2022-08-20,Sweet Potato,40,48,57,1kg
108,2022-08-19,Onion Big,28,34,40,1kg
109,2022-08-19,Onion Small,34,41,48,1kg
110,2022-08-19,Tomato,16,19,22,1kg
111,2022-08-19,Green Chilli,35,42,50,1kg
112,2022-08-19,Beetroot,42,50,59,1kg
113,2022-08-19,Potato,32,39,45,1kg
114,2022-08-19,Raw Banana (Plantain),12,14,17,1kg
115,2022-08-19,Amaranth Leaves,9,10,13,1kg
116,2022-08-19,Amla,50,61,71,1kg
117,2022-08-19,Ash gourd,25,30,35,1kg
118,2022-08-19,Baby Corn,50,61,71,1kg
119,2022-08-19,Banana Flower,12,14,17,1kg
120,2022-08-19,Capsicum,35,42,50,1kg
121,2022-08-19,Bitter Gourd,32,39,45,1kg
122,2022-08-19,Bottle Gourd,29,35,41,1kg
123,2022-08-19,Butter Beans,72,87,102,1kg
124,2022-08-19,Broad Beans,41,49,58,1kg
125,2022-08-19,Cabbage,30,36,43,1kg
126,2022-08-19,Carrot,45,54,64,1kg
127,2022-08-19,Cauliflower,24,29,34,1kg
128,2022-08-19,Cluster beans,36,43,51,1kg
129,2022-08-19,Coconut,35,42,50,1kg
130,2022-08-19,Colocasia Leaves,14,17,20,1kg
